rho_pol, ne, Te, Ti, dn_dR, dTe_dR, dTi_dR, D, chi_e, chi_i, Gamma, Qe, Qi
9.354802675582396532e-01,1.649838797351507763e+19,2.413394371878443962e+02,2.912895845231874432e+02,-1.992485139926853550e+20,-6.242480251086596581e+03,-3.051807982193228327e+03,-8.119813891266552952e-01,5.440200565050204440e-02,2.061545379282294643e-01,-1.617860851732024852e+20,-8.485014579469720047e+03,-9.661668316951037923e+03
9.367241862475479408e-01,1.632664170172314829e+19,2.359769793733635197e+02,2.883077777343693242e+02,-1.974692087738001654e+20,-6.169183305566199124e+03,-3.448242787222939114e+03,-7.682559210029474839e-01,5.291729881444413169e-02,2.110527153101044995e-01,-1.517068888562391777e+20,-7.748723652112345007e+03,-8.606828439284536216e+03
9.379681049368562284e-01,1.615582210143683789e+19,2.306372539350485340e+02,2.853076377433446851e+02,-1.925463605565773906e+20,-6.115565521063635970e+03,-3.453538380947476526e+03,-7.316776779134879227e-01,5.160427892356413831e-02,2.157257072405352749e-01,-1.408818739827297485e+20,-6.991177251659116337e+03,-7.730555086561305870e+03
9.392120236261646271e-01,1.599210594580456243e+19,2.253516145077548458e+02,2.823074977523197617e+02,-1.871020020877011190e+20,-6.042005784003012195e+03,-3.448265954828053509e+03,-7.151156494052862689e-01,5.799279322201844611e-02,2.187873118107906689e-01,-1.337995697279756206e+20,-6.347829670491981233e+03,-7.143942578469395812e+03
9.404559423154729147e-01,1.583024849069015040e+19,2.201236430848120165e+02,2.793073577612950658e+02,-1.822704497552215900e+20,-5.959302823269428700e+03,-3.312698967246862139e+03,-6.993596699949451434e-01,6.438130752047219185e-02,2.196671320985299491e-01,-1.274726015906419999e+20,-5.769770414308515683e+03,-6.710220929976043408e+03
9.416998610047813134e-01,1.567445396015134925e+19,2.149660343028313605e+02,2.765342887311620643e+02,-1.781746617132948521e+20,-5.954236850037372278e+03,-3.316814373924149095e+03,-6.848606159621875022e-01,6.892577631520899195e-02,2.172172633602333092e-01,-1.220248085698214953e+20,-5.272819859568727225e+03,-6.299560931908204111e+03
9.429437796940896011e-01,1.551925820844137677e+19,2.097309768057604629e+02,2.735181112523090405e+02,-1.762429019920510812e+20,-6.018344534189143815e+03,-3.639195661439492142e+03,-6.868879673298584621e-01,7.189461692582489738e-02,2.159978665002913467e-01,-1.210591287056354345e+20,-5.025441846927518782e+03,-6.002493997134865822e+03
9.441876983833979997e-01,1.536636289849884877e+19,2.044453373784668031e+02,2.701725933538092477e+02,-1.740963947001006653e+20,-6.037990882867565233e+03,-3.821714827027961292e+03,-6.972097792448317399e-01,7.486345753644106649e-02,2.187193329050579060e-01,-1.213817089161782723e+20,-4.850520924459875459e+03,-5.822715127133880742e+03
9.454316170727062874e-01,1.521445126658674893e+19,1.991596979511735981e+02,2.668270754553098527e+02,-1.716381212911633039e+20,-6.028701935199140280e+03,-3.815835436064845453e+03,-7.078860602741506858e-01,7.783229814705697192e-02,2.206369426751589868e-01,-1.215002334736584049e+20,-4.671092748025560468e+03,-5.738374317127786526e+03
9.466755357620146860e-01,1.506539687600360038e+19,1.938740585238798815e+02,2.634815575568100599e+02,-1.691480364323328164e+20,-6.046063777674017729e+03,-3.765015252508330377e+03,-7.187849883622139391e-01,8.622657598745658847e-02,2.206369426751589868e-01,-1.215810693985056850e+20,-4.405990041581784681e+03,-5.692980494275876481e+03
