rho_pol, ne, Te, Ti, dn_dR, dTe_dR, dTi_dR, D, chi_e, chi_i, Gamma, Qe, Qi
1.027530250567056713e+00,2.471568994502083072e+18,1.280910965450457795e+01,2.042931430986975272e+01,-9.441298636041415885e+19,-4.810648843717190744e+02,-9.706767177945303047e+02,9.273872922338279867e-01,1.798003433706201193e+00,1.904637729800480184e+00,8.755740377249382400e+19,6.119796653333819449e+02,1.161852493774116283e+03
1.028774169256365001e+00,2.376287474950330368e+18,1.233742249097299570e+01,1.947755964517287808e+01,-9.679296342814456218e+19,-4.429474809635672159e+02,-7.507257666765318618e+02,9.252652088517823170e-01,1.822473543617137981e+00,1.927971507692718633e+00,8.955916152172511232e+19,5.728232635717226913e+02,9.701674854135727628e+02
1.030018087945673289e+00,2.281400473384897536e+18,1.193885354905992102e+01,1.895436815927044805e+01,-9.596084045221317837e+19,-3.640639698777451940e+02,-4.997688814132413881e+02,9.191553627141854088e-01,1.847920957634939576e+00,1.971316161012681478e+00,8.820292111221207859e+19,4.989270248210443697e+02,7.618130529615757496e+02
1.031262006634981576e+00,2.187399260286274048e+18,1.162080315990366230e+01,1.849382032703081435e+01,-9.322874371698456986e+19,-3.716631353220044502e+02,-6.043989094740712744e+02,9.141738370367077371e-01,1.873368792500750057e+00,2.008001874281380772e+00,8.522727836586763878e+19,4.819805047180083761e+02,8.040388956898761990e+02
1.032505925324290086e+00,2.097544322843703040e+18,1.120589769624038112e+01,1.776243472268420476e+01,-8.851717379252674560e+19,-4.487213469602343139e+02,-7.236283197556180085e+02,9.425156657111233294e-01,1.905823077476706873e+00,2.044687587550086505e+00,8.342882298393054413e+19,5.120196375082527993e+02,8.532832243935894212e+02
1.033749844013598373e+00,2.012505254916985600e+18,1.073421053270884684e+01,1.706406099538580889e+01,-8.352152244322918400e+19,-3.344113068917527016e+02,-6.806462112271783553e+02,1.063432924949867076e+00,1.954711453845383584e+00,2.205322323973292420e+00,8.881953690806917530e+19,4.398516948974569800e+02,8.481456590100031008e+02
1.034993762702906661e+00,1.932206980197019392e+18,1.054390453310008091e+01,1.641504266666262879e+01,-7.948942108323009331e+19,-1.530274772709082640e+02,-5.790329246174985656e+02,1.171253262816167595e+00,2.002622813168382088e+00,2.379298226968557195e+00,9.310224380310151168e+19,3.307535322534537841e+02,7.936952126721688501e+02
1.036237681392214949e+00,1.854849750989051136e+18,1.043070317644436074e+01,1.591563487430670598e+01,-7.040033145010594611e+19,-2.591966718558544471e+02,-3.860610133781517561e+02,1.310767954078092767e+00,2.049389915905580839e+00,2.531423640199510494e+00,9.227849842127498445e+19,3.891388463423908206e+02,6.433185475561647308e+02
1.037481600081523236e+00,1.792311611409065728e+18,1.002884425922078115e+01,1.564788508758980434e+01,-6.061987215579715994e+19,-3.997505236949704681e+02,-3.458719781944718079e+02,1.377065752946704746e+00,2.096157018642780034e+00,2.699564568405135923e+00,8.347754989375579750e+19,4.417714243851517040e+02,5.819839657588298678e+02
1.038725518770831746e+00,1.734158978998025984e+18,9.634822261608928073e+00,1.522702312746777942e+01,-5.533318791811382477e+19,-2.671143330641113494e+02,-4.737310959964760855e+02,1.317283028885812168e+00,1.968625559866981956e+00,2.599095708164429031e+00,7.288946937868080742e+19,3.148442373336358742e+02,6.087690742636686991e+02
1.039969437460140034e+00,1.681935078666664960e+18,9.496014775890646575e+00,1.470290436633210618e+01,-5.161078489720290509e+19,-1.420878234372004840e+02,-5.387049552808332464e+02,1.248002736003471336e+00,1.796506876297270683e+00,2.459097435159826261e+00,6.441040075899586150e+19,2.157568586796380998e+02,5.845115501146680117e+02
1.041213356149448321e+00,1.631009955082956032e+18,9.350846338224776844e+00,1.415037043896273161e+01,-4.616053260918931456e+19,-1.546022855271456820e+02,-5.565466659963525444e+02,1.196224325210386796e+00,1.682203404665531421e+00,2.314141439106878639e+00,5.521835197177954304e+19,1.920298670227433888e+02,5.242806298179636997e+02
1.042457274838756609e+00,1.589501306562583808e+18,9.186432723443934023e+00,1.358845215397284178e+01,-3.942752608484691149e+19,-1.998934068723062580e+02,-4.461439792786044336e+02,1.114061107779851456e+00,1.539363210958194061e+00,2.182556257618756490e+00,4.392467338710354330e+19,1.753180320747262613e+02,3.913773276682947539e+02
1.043701193528065119e+00,1.551906362351199232e+18,8.949799449993358635e+00,1.325527010827923213e+01,-3.107163794728672051e+19,-2.886754279414385564e+02,-3.233313069554270101e+02,9.379645771218303452e-01,1.416106314876012906e+00,1.897688276046925804e+00,2.914409574770940723e+19,1.643111211626983277e+02,2.453769220273843814e+02
1.044945112217373406e+00,1.527041697721489664e+18,8.606142931774583005e+00,1.293849778102422832e+01,-2.122329995630244659e+19,-2.703877797834731496e+02,-3.702858244522776658e+02,7.663793005613561693e-01,1.293648861841190989e+00,1.614310481740571568e+00,1.626509777611492966e+19,1.192062185204691929e+02,1.968005213024438547e+02
1.046189030906681694e+00,1.509161091082046720e+18,8.405218775993308356e+00,1.250948749926351589e+01,-1.772129267753770394e+19,-1.991339467606606775e+02,-4.251878539726856729e+02,6.106950830117321427e-01,1.166942675159235776e+00,1.353859565239629692e+00,1.082230630278408806e+19,7.804006255487472288e+01,1.717044034800125019e+02
